Date,Open,High,Low,Close,Volume,Adj Close
2011-07-11,11289.19,11477.52,11094.44,11231.96,5265420000,11231.96
2011-07-07,11297.33,11336.49,11158.02,11288.53,3247590000,11288.53
2011-07-06,11382.34,11510.41,11180.58,11215.51,5276090000,11215.51
2011-07-05,11344.64,11465.79,11106.65,11382.26,5846290000,11382.26
2011-07-04,11345.7,11504.55,11226.34,11350.01,5032330000,11350.01
2011-07-01,11452.85,11556.33,11248.48,11346.51,6208260000,11346.51
2011-06-30,11808.57,11808.57,11431.92,11453.42,5231280000,11453.42
2011-06-29,11805.31,12008.7,11683.75,11811.83,4825640000,11811.83
2011-06-28,11842.36,11962.37,11668.53,11807.43,4705050000,11807.43
2011-06-27,11843.83,11986.96,11731.06,11842.36,4186370000,11842.36
2011-06-24,12062.19,12078.23,11785.04,11842.69,5324900000,11842.69
2011-06-23,12022.54,12188.31,11881.03,12063.09,4811670000,12063.09
2011-06-22,12158.68,12212.33,11947.07,12029.06,4573570000,12029.06
2011-06-21,12269.65,12378.67,12114.14,12160.3,3801960000,12160.3
2011-06-20,12306.86,12381.44,12139.79,12269.08,3706940000,12269.08
2011-06-17,12144.59,12376.72,12096.23,12307.35,4080420000,12307.35
2011-06-16,12089.63,12337.72,12041.43,12141.58,4734240000,12141.58
2011-06-15,12286.34,12317.2,12029.46,12083.77,4779980000,12083.77
2011-06-14,12277.71,12425.98,12116.58,12289.76,4635070000,12289.76
2011-06-13,12210.13,12406.36,12102.5,12280.32,4404570000,12280.32
2011-06-10,12602.74,12602.74,12180.5,12209.81,4771660000,12209.81
2011-06-09,12388.81,12652.81,12358.07,12604.45,4350790000,12604.45
2011-06-08,12391.86,12540.37,12283.74,12390.48,4338640000,12390.48
2011-06-07,12503.2,12620.98,12317.61,12402.85,4396380000,12402.85
2011-06-06,12637.67,12645.4,12385.76,12503.82,3714320000,12503.82
2011-06-03,12647.36,12750.84,12555.6,12638.32,3845630000,12638.32
2011-06-02,12593.87,12760.21,12493.47,12646.22,3894440000,12646.22
2011-06-01,12542.9,12693.77,12437.38,12594.03,3927240000,12594.03
2011-05-31,12479.63,12626.84,12397.56,12548.35,3588860000,12548.35
2011-05-27,12620.9,12637.43,12420.2,12479.63,3516380000,12479.63
2011-05-26,12597.69,12743.68,12515.78,12625.62,3955960000,12625.62
2011-05-25,12824.94,12926.71,12550.39,12601.19,4517990000,12601.19
2011-05-24,13026.04,13026.04,12742.29,12828.68,3854320000,12828.68
2011-05-23,12985.41,13170.97,12899.19,13028.16,3683970000,13028.16
2011-05-20,12992.74,13069.52,12860.6,12986.8,3842590000,12986.8
2011-05-19,12891.29,13028.16,12798.39,12992.66,3836480000,12992.66
2011-05-18,12825.12,13037.44,12806.21,12898.38,3979370000,12898.38
2011-05-17,12872.08,12957.65,12716.16,12832.18,4018590000,12832.18
2011-05-16,12768.38,12903.33,12746.36,12876.05,3370630000,12876.05
2011-05-13,12860.68,12871.75,12648.09,12745.88,3518620000,12745.88
2011-05-12,12814.84,12965.95,12727.56,12866.78,3827550000,12866.78
2011-05-11,13010.82,13097.77,12756.14,12814.35,4075860000,12814.35
2011-05-10,12968.89,13071.07,12817.53,13020.83,3924100000,13020.83
2011-05-09,13056.57,13105.75,12896.5,12969.54,3410090000,12969.54
2011-05-06,13012.53,13191.49,12931.35,13058.2,3953030000,13058.2
2011-05-05,12818.34,13079.94,12721.94,13010.0,4448780000,13010.0
2011-05-04,12831.45,13052.91,12746.45,12820.13,4508890000,12820.13
2011-05-03,12870.37,12970.27,12737.82,12831.94,3815320000,12831.94
2011-05-02,12890.76,13015.62,12791.55,12871.75,3607000000,12871.75
2011-04-29,12848.38,12987.29,12703.7,12891.86,3891150000,12891.86
2011-04-28,12764.68,12979.88,12651.51,12848.95,4461660000,12848.95
2011-04-27,12721.45,12883.8,12627.0,12763.22,4103610000,12763.22
2011-04-26,12825.02,12870.86,12604.53,12720.23,3821900000,12720.23
2011-04-25,12850.91,12902.69,12666.08,12825.02,3420570000,12825.02
2011-04-22,12626.76,12965.47,12626.76,12849.36,4222380000,12849.36
2011-04-21,12617.4,12725.93,12472.71,12620.49,3713880000,12620.49
2011-04-20,12371.51,12670.56,12371.51,12619.27,4260370000,12619.27
2011-04-19,12303.6,12459.36,12223.97,12362.47,3581230000,12362.47
2011-04-18,12324.77,12430.86,12208.42,12302.06,3565020000,12302.06
2011-04-15,12579.78,12579.78,12280.89,12325.42,3723790000,12325.42
2011-04-14,12526.78,12705.9,12447.96,12581.98,3686150000,12581.98
2011-04-13,12574.65,12686.93,12416.53,12527.26,3556670000,12527.26
2011-04-12,12602.66,12664.38,12440.55,12576.44,3602500000,12576.44
2011-04-11,12612.59,12786.83,12550.22,12612.43,3747780000,12612.43
2011-04-08,12626.35,12738.3,12489.4,12609.42,3703100000,12609.42
2011-04-07,12604.69,12734.97,12455.04,12626.03,3920100000,12626.03
2011-04-06,12651.67,12790.28,12488.22,12608.92,4320440000,12608.92
2011-04-05,12266.64,12693.93,12266.64,12654.36,4745120000,12654.36
2011-04-04,12215.92,12384.84,12095.18,12262.89,4188990000,12262.89
2011-04-01,12303.92,12441.67,12164.22,12216.4,3686980000,12216.4
2011-03-31,12421.88,12528.13,12264.76,12302.46,4037930000,12302.46
2011-03-30,12531.79,12531.79,12309.62,12422.86,4055670000,12422.86
2011-03-29,12547.34,12639.82,12397.62,12532.6,4145120000,12532.6
2011-03-28,12361.97,12687.61,12346.17,12548.64,4499000000,12548.64
2011-03-24,12102.43,12434.34,12024.68,12361.32,6145220000,12361.32
2011-03-23,12391.52,12525.19,12077.27,12099.66,5358550000,12099.66
2011-03-22,11975.92,12411.63,11975.92,12392.66,5335630000,12392.66
2011-03-21,11946.45,12119.69,11650.44,11972.25,5683010000,11972.25
2011-03-18,12146.39,12249.86,11781.43,11951.09,5153780000,11951.09
2011-03-17,12096.49,12242.29,11832.88,12145.74,5073360000,12145.74
2011-03-16,12148.61,12360.58,12037.79,12110.24,4414280000,12110.24
2011-03-15,11741.33,12205.98,11741.33,12156.81,5109080000,12156.81
2011-03-14,11893.04,11993.75,11691.47,11740.15,4261240000,11740.15
2011-03-11,12039.09,12131.33,11778.66,11893.69,4565410000,11893.69
2011-03-10,12254.59,12267.86,12010.03,12040.39,4323460000,12040.39
2011-03-09,12204.93,12392.74,12105.36,12254.99,4277710000,12254.99
2011-03-08,12259.14,12291.22,11991.06,12213.8,4757180000,12213.8
2011-03-07,12264.36,12344.71,12101.29,12258.9,4117570000,12258.9
2011-03-04,12689.28,12713.99,12463.32,12582.18,3938580000,12582.18
2011-03-03,12683.54,12815.59,12527.64,12694.28,3904700000,12694.28
2011-03-02,12569.48,12771.14,12449.08,12684.92,4096060000,12684.92
2011-02-28,12380.77,12612.47,12292.03,12570.22,3866350000,12570.22
2011-02-25,12281.09,12429.05,12116.92,12381.02,3572660000,12381.02
2011-02-24,12426.85,12545.79,12225.36,12284.3,3696660000,12284.3
2011-02-23,12333.31,12489.29,12159.42,12427.26,3870520000,12427.26
2011-02-22,12349.59,12571.11,12276.81,12337.22,3613550000,12337.22
