pc,year,state,party,name,sex,age,category,votes,electors,rank,color,polled_votes
NOWRANGPUR,1951,ORISSA,GP,PONNADA SUBARAO,,,,67257,402950,1,#999,143222
PURI,1951,ORISSA,INC,LOKANATH MISRA,,,,85945,387950,1,#019733,155622
RAYAGADA PHULBANI,1951,ORISSA,INC,T. SANGANA,,,,0,393599,1,#019733,0
SAMBALPUR,1951,ORISSA,GP,NATABAR PANDEY,,,,70622,390596,1,#999,128485
SUNDARGARH,1951,ORISSA,INC,SIBNARAYAN SINGH,,,,74062,389204,1,#019733,179734
KAPURTHALA BHATINDA,1951,PATIALA AND EAST PUNJAB STATES UNION,SAD,HUKAM SINGH,,,,210067,713275,1,#999,863273
MOHINDERGARH,1951,PATIALA AND EAST PUNJAB STATES UNION,INC,HIRA SINGH,,,,57290,333436,1,#019733,180559
PATIALA,1951,PATIALA AND EAST PUNJAB STATES UNION,INC,RAM PARTAP,,,,103552,367485,1,#019733,219562
SANGRUR,1951,PATIALA AND EAST PUNJAB STATES UNION,IND,RANJIT SINGH,,,,70569,349335,1,#95b3d7,211718
AMBALA SIMLA,1951,PUNJAB,INC,TEK CHAND,,,,98249,365025,1,#019733,200028
AMRITSAR,1951,PUNJAB,INC,GURMUKH SINGH MUSAFFAR,,,,86382,360735,1,#019733,180439
FAZILKA SIRSA,1951,PUNJAB,INC,ATMA SINGH,,,,75412,360933,1,#019733,214413
FEROZEPORE LUDHIANA,1951,PUNJAB,SAD,LAL SINGH,,,,157908,764171,1,#999,811732
GURDASPUR,1951,PUNJAB,INC,TEJA SINGH,,,,86052,353804,1,#019733,182413
GURGAON,1951,PUNJAB,INC,THAKAR DAS,,,,113269,381963,1,#019733,251946
HISSAR,1951,PUNJAB,INC,ACHINT RAM,,,,66266,370693,1,#019733,188389
HOSHIARPUR,1951,PUNJAB,INC,DIWAN CHAND,,,,198585,775828,1,#019733,799356
JALANDHAR,1951,PUNJAB,INC,AMAR NATH,,,,100103,359274,1,#019733,199468
JHAJJAR REWARI,1951,PUNJAB,INC,GHAMANDI LAL,,,,102435,382413,1,#019733,246224
KANGRA,1951,PUNJAB,INC,HEM RAJ,,,,102669,338943,1,#019733,159053
KARNAL,1951,PUNJAB,INC,SUBHADRA JOSHI,,,,203588,765032,1,#019733,842918
NAWAN SHAHR,1951,PUNJAB,INC,BALDEV SINGH,,,,116109,398321,1,#019733,250375
ROHTAK,1951,PUNJAB,INC,RANBIR SINGH,,,,108148,363546,1,#019733,253188
TARN TARAN,1951,PUNJAB,INC,SURJIT SINGH,,,,78207,377664,1,#019733,212396
ALWAR,1951,RAJASTHAN,INC,SOBHA RAM,,,,112121,382999,1,#019733,199856
BANSWARA DUNGARPUR,1951,RAJASTHAN,INC,BHIKHA BHAI,,,,80064,396575,1,#019733,117265
BARMER JALORE,1951,RAJASTHAN,IND,BHAWANI SINGH,,,,81546,369470,1,#95b3d7,128092
BHARATPUR SAWAIMADHOPUR,1951,RAJASTHAN,IND,GIRRAJ SHARAN SINGH,,,,196391,748347,1,#95b3d7,687306
BHILWARA,1951,RAJASTHAN,RRP,HARI RAM,,,,51562,419186,1,#999,108838
BIKANER CHURU,1951,RAJASTHAN,IND,MAHARAJA KARNI SINGH,,,,117926,397481,1,#95b3d7,187557
CHITTOOR,1951,RAJASTHAN,BJS,UMASHANKER,,,,52460,405205,1,#999,112548
GANGANAGAR JHUNJHUNU,1951,RAJASTHAN,INC,PANNA LAL,,,,154079,758860,1,#019733,662222
JAIPUR,1951,RAJASTHAN,INC,DAULAT MAL,,,,49773,397855,1,#019733,119094
JAIPUR SAWAIMADHOPUR,1951,RAJASTHAN,INC,RAM KARAN JOSHI,,,,66197,382763,1,#019733,122770
JODHPUR,1951,RAJASTHAN,IND,HANWANT SINGH,,,,139833,402871,1,#95b3d7,177850
KOTAB BUNDI,1951,RAJASTHAN,RRP,CHANDRA SEN,,,,41715,411738,1,#999,93005
KOTAH JHALAWAR,1951,RAJASTHAN,INC,NEMICHAND KASILWAL,,,,38518,361030,1,#019733,94936
NAGAUR PALI,1951,RAJASTHAN,IND,GAJADHAR,,,,94105,383209,1,#95b3d7,200411
SIKAR,1951,RAJASTHAN,RRP,NAND LAL,,,,52980,323013,1,#999,134158
SIROHI PALI,1951,RAJASTHAN,IND,AJIT SINGH,,,,99925,380210,1,#95b3d7,159335
TONK,1951,RAJASTHAN,INC,PANNA LAL KAUSHIK,,,,60980,387328,1,#019733,129770
UDAIPUR,1951,RAJASTHAN,INC,BALWANT SINGH,,,,37331,368279,1,#019733,91944
GOHILWAD,1951,SAURASHTRA,INC,MEHTA BALWANTRAI GOPALJI,,,,80256,310380,1,#019733,124240
GOHILWAD SORATH,1951,SAURASHTRA,INC,SHAH CHIMANLAL CHAKUBHAI,,,,118239,288399,1,#019733,163639
HALAR,1951,SAURASHTRA,INC,MAJOR GEN. M. S. HIMATSINHJI,,,,0,295369,1,#019733,0
MADHYA SAURASHTRA,1951,SAURASHTRA,INC,JOSHI JETHALAL HARIKRISHNA,,,,86003,312441,1,#019733,139962
SORATH,1951,SAURASHTRA,INC,NATHIWANI NARENDRA,,,,123581,316584,1,#019733,170901
ZALAWAD,1951,SAURASHTRA,INC,PARIKH RASIKLAL UMEDCHAND,,,,98033,315707,1,#019733,163963
ALAPPUZHA,1951,TRAVANCORE COCHIN,IND,P. T. PUNNOSE,,,,158430,349268,1,#95b3d7,275409
CHIRAYINKIL,1951,TRAVANCORE COCHIN,IND,V. PARAMESWARAN NAIR,,,,94771,351642,1,#95b3d7,233287
CRANGANNUR,1951,TRAVANCORE COCHIN,INC,K. T. ACHYUTHAN,,,,93216,348264,1,#019733,239313
ERNAKULAM,1951,TRAVANCORE COCHIN,INC,A. M. THOMAS,,,,103834,355060,1,#019733,247832
KOTTAYAM,1951,TRAVANCORE COCHIN,INC,C. P. MATHEW,,,,170654,354046,1,#019733,284961
MEENACHIL,1951,TRAVANCORE COCHIN,INC,P. T. CHACKO,,,,130245,355235,1,#019733,267829
NAGERCOIL,1951,TRAVANCORE COCHIN,TTC,A. NESAMONY,,,,115893,343195,1,#999,227904
QUILON CUM MAVELIKARA,1951,TRAVANCORE COCHIN,RSP,SREEKANTAN NAIR,,,,220312,705598,1,#999,1028391
THIRUVALLA,1951,TRAVANCORE COCHIN,INC,MATHEN C. P.,,,,153823,352821,1,#019733,257600
THIRUVANANTHAPURAM,1951,TRAVANCORE COCHIN,IND,ANNIE MASCARENE,,,,116617,356512,1,#95b3d7,255044
TRICHUR,1951,TRAVANCORE COCHIN,INC,IYYUNNI CHALAKKA,,,,70300,338603,1,#019733,172906
TRIPURA EAST,1951,TRIPURA,CPI,DASARATHA DEB,,,,42866,179607,1,#DE0000,79520
TRIPURA WEST,1951,TRIPURA,CPI,BIRENDRA CHANDRA DUTT,,,,53592,150199,1,#DE0000,77851
AGRA DISTRICT (EAST),1951,UTTAR PRADESH,INC,RAGHUBIR SINGH,,,,70154,376255,1,#019733,156403
AGRA DISTRICT (WEST),1951,UTTAR PRADESH,INC,ACHAL SINGH SETH,,,,102181,374135,1,#019733,177414
ALIGARH DISTRICT,1951,UTTAR PRADESH,INC,NARDEO JI,,,,206335,772202,1,#019733,744815
ALLAHABAD DISTT (EAST) CUM JAUNPUR DISTT (WEST),1951,UTTAR PRADESH,INC,JAWAHAR LAL NEHRU,,,,233571,749750,1,#019733,603022
ALLAHABAD DISTT (WEST),1951,UTTAR PRADESH,INC,SRI PRAKASA,,,,68708,363930,1,#019733,129771
ALMORA DISTRICT (NORTH EAST),1951,UTTAR PRADESH,INC,DEVI DATT,,,,54964,373707,1,#019733,100667
AZAMGARH DISTRICT (EAST) CUM BALLIA DISTRICT (WEST),1951,UTTAR PRADESH,INC,ALGU RAI SHASTRI,,,,47559,383060,1,#019733,153266
AZAMGARH DISTRICT (WEST),1951,UTTAR PRADESH,INC,VISHWA NATH,,,,112449,760755,1,#019733,555502
BAHRAICH DISTRICT (EAST),1951,UTTAR PRADESH,INC,RAFI AHMAD KIDWAI,,,,47624,343647,1,#019733,96028
BAHRAICH DISTRICT (WEST),1951,UTTAR PRADESH,INC,JOGENDRA SINGH,,,,60298,368993,1,#019733,142131
BALLIA DISTRICT (EAST),1951,UTTAR PRADESH,IND,MURLI MANOHAR,,,,47393,368287,1,#95b3d7,126480
BANARAS DISTRICT (CENTRAL),1951,UTTAR PRADESH,INC,RAGHUNATH SINGH,,,,78763,359514,1,#019733,162478
BANARAS DISTRICT (EAST),1951,UTTAR PRADESH,INC,TRIBHUAN NARAIN SINGH,,,,65446,372480,1,#019733,153123
BANDA DISTRICT CUM FATEHPUR DISTRICT,1951,UTTAR PRADESH,INC,SHIVE DAYAL,,,,87353,780133,1,#019733,356961
BAREILLY DISTRICT (SOUTH),1951,UTTAR PRADESH,INC,SATISH CHANDRA,,,,66740,379600,1,#019733,138758
BASTI DISTRICT (NORTH),1951,UTTAR PRADESH,INC,UDAI SHANKER DUBEY,,,,128312,374224,1,#019733,172752
BASTI DISTT CENTRAL (EAST) CUM GORAKHPUR DISTT (WEST),1951,UTTAR PRADESH,INC,RAM SHANKER LAL,,,,193733,730319,1,#019733,498251
BIJNOR DISTRICT (SOUTH),1951,UTTAR PRADESH,INC,NEMI SARAN,,,,75018,381477,1,#019733,190669
BUDAUN DISTRICT (WEST),1951,UTTAR PRADESH,INC,BADAN SING,,,,71074,354848,1,#019733,131103
BULANDSHAHR DISTRICT,1951,UTTAR PRADESH,INC,BALMIKI KANHAIYA LAL,,,,223717,770017,1,#019733,696063
DEHRA DUN DISTT CUM BIJNOR DISTT (NORTH WEST) CUM SAHARANPUR DISTRICT (WEST),1951,UTTAR PRADESH,INC,MAHAVIR TYAGI,,,,122141,373627,1,#019733,191655
DEORIA DISTRICT (EAST),1951,UTTAR PRADESH,SP,RAM JI,,,,62133,360505,1,#B15928,127752
DEORIA DISTRICT (SOUTH),1951,UTTAR PRADESH,INC,SARAYU,,,,53530,356039,1,#019733,119616
DEORIA DISTRICT (WEST),1951,UTTAR PRADESH,INC,BISHWA NATH,,,,63325,369077,1,#019733,114804
ETAH DISCTICT NORTH EAST CUM BUDAUN DISTT (EAST),1951,UTTAR PRADESH,INC,RAGHUBIR SAHAI,,,,63147,352544,1,#019733,153239
ETAH DISTRICT (CENTRAL),1951,UTTAR PRADESH,INC,ROHAN LAL CHATURVEDI,,,,68367,365009,1,#019733,168730
ETAH DISTT (WEST) CUM MAINPURI DISTT (WEST) CUM MATHURA DISTRICT (EAST),1951,UTTAR PRADESH,INC,DIGAMBER SINGH,,,,104536,361599,1,#019733,185634
FAIZABAD DISTT (NORTH WEST),1951,UTTAR PRADESH,INC,PANNA LAL,,,,130002,718760,1,#019733,526515
FARRUKHABAD DISTRICT (NORTH),1951,UTTAR PRADESH,INC,MOOL CHAND DUBE,,,,86024,407275,1,#019733,167836
GARHWAL DISTT (EAST) CUM MORADABAD DISTT (NORTH EAST),1951,UTTAR PRADESH,INC,BHAKTADARSHAN,,,,65994,347009,1,#019733,96529
GARHWAL DISTT (WEST) CUM TEHRI GARHWAL DISTT CUM BIJNOR DISTT (NORTH),1951,UTTAR PRADESH,IND,MAHARANI SAHIBA KAMLENDU MATI SHAH,,,,68811,373418,1,#95b3d7,135092
GHAZIPUR DISTRICT (WEST),1951,UTTAR PRADESH,INC,HAR PRASAD,,,,52809,392667,1,#019733,169758
GHAZIPUR DISTT (EAST) CUM BALLIA DISTRICT SOUTH (WEST),1951,UTTAR PRADESH,SP,RAM NAGINA,,,,44195,360946,1,#B15928,117115
GONDA DISTRICT (EAST) CUM BASTI DISTRICT (WEST),1951,UTTAR PRADESH,INC,KESHO DEO MALVIYA,,,,68516,337344,1,#019733,117305
GONDA DISTRICT (NORTH),1951,UTTAR PRADESH,INC,CHOWDHARI HYDER HUSAIN,,,,82217,364459,1,#019733,164274
GONDA DISTRICT (WEST),1951,UTTAR PRADESH,HMS,NAYAR SHAKUNTALA,,,,66330,380009,1,#999,131240
GORAKHPUR DISTRICT (CENTRAL),1951,UTTAR PRADESH,INC,DASRATH PD. DIVEDI,,,,108898,388724,1,#019733,144643
GORAKHPUR DISTRICT (NORTH),1951,UTTAR PRADESH,INC,HARI SHANKER PRASAD,,,,67341,369306,1,#019733,120382
GORAKHPUR DISTRICT (SOUTH),1951,UTTAR PRADESH,INC,SINHASAN SINGH,,,,57450,342796,1,#019733,104695
HAMIRPUR DISTRICT,1951,UTTAR PRADESH,INC,MANNU LAL DUVEDI,,,,42118,336458,1,#019733,128684
HARDOI DISTT (NORTH WEST) CUM FARRUKHABAD DISTT (EAST) CUM SHAHJANPUR DISTT (SOUTH),1951,UTTAR PRADESH,INC,BASHIR HUSAIN ZAIDI,,,,111883,754683,1,#019733,532687
JALAUN DISTT CUM ETAWAH DISTT (WEST) CUM JHANSI DISTT (NORTH),1951,UTTAR PRADESH,INC,LOTAN RAM,,,,151820,753180,1,#019733,584312
JAUNPUR DISTRICT (EAST),1951,UTTAR PRADESH,INC,BIRBAL SINGH,,,,177285,709849,1,#019733,563586
JHANSI DISTRICT (SOUTH),1951,UTTAR PRADESH,INC,DHULEKAR RAGHUNATH,,,,83714,359042,1,#019733,135532
KANPUR DISTRICT CENTRAL,1951,UTTAR PRADESH,INC,HARI HAR NATH SHASTRI,,,,88812,395486,1,#019733,136821
KANPUR DISTRICT SOUTH CUM ETAWAH DISTRICT,1951,UTTAR PRADESH,INC,BAL KRISHNA SHARMA,,,,78355,376278,1,#019733,160257
KANPUR DISTT NORTH CUM FARRUKHABAD DISTT SOUTH,1951,UTTAR PRADESH,INC,V. N. TIWARI,,,,83859,365691,1,#019733,166635
LUCKNOW DISTRICT CENTRAL,1951,UTTAR PRADESH,INC,VIJAI LAXMI PANDIT,,,,102764,353447,1,#019733,148569
LUCKNOW DISTT CUM BARA BANKI DISTT,1951,UTTAR PRADESH,INC,GANGA DEVI,,,,123427,730269,1,#019733,498095
MAINPURI DISTRICT (EAST),1951,UTTAR PRADESH,INC,BADSHAH GUPTA,,,,61736,340120,1,#019733,139345
MATHURA DISTRICT (WEST),1951,UTTAR PRADESH,INC,KRISHNA CHANDRA,,,,71235,376706,1,#019733,182335
MEERUT DISTRICT (NORTH EAST),1951,UTTAR PRADESH,INC,SHAH NAWAZ KHAN,,,,125288,394599,1,#019733,209089
MEERUT DISTRICT (SOUTH),1951,UTTAR PRADESH,INC,KRISHNA CHANDRA SHARMA,,,,117256,374338,1,#019733,185764
MEERUT DISTRICT (WEST),1951,UTTAR PRADESH,INC,KHUSHI RAM SHARMA,,,,124601,357437,1,#019733,205243
MIRZAPUR DISTRICT CUM BANARAS DISTRICT (WEST),1951,UTTAR PRADESH,INC,RUP NARAIN,,,,135831,720697,1,#019733,517177
MORADABAD DISTRICT,1951,UTTAR PRADESH,INC,HIFZUL REHMAN,,,,97863,387330,1,#019733,163085
MORADABAD DISTRICT (WEST),1951,UTTAR PRADESH,INC,RAM SARAN,,,,74644,367788,1,#019733,156871
MUZAFFARNAGAR DISTRICT (SOUTH),1951,UTTAR PRADESH,INC,TRIPATHI HIRA BALLABH,,,,103994,375540,1,#019733,199562
NAINI TAL DISTT CUM ALMORA DISTT (SOUTH WEST) CUM BAREILLY DISTT (NORTH),1951,UTTAR PRADESH,INC,C. D. PANDE,,,,74314,341976,1,#019733,129142
PILIBHIT DISTT CUM BAREILLY DISTT (EAST),1951,UTTAR PRADESH,INC,MUKUND LAL AGARWALA,,,,55612,328961,1,#019733,128991
PRATAPGARH DISTT (EAST),1951,UTTAR PRADESH,INC,MUNISHWAR DUTT UPADHYAYA,,,,77668,362654,1,#019733,122001
PRATAPGARH DISTT (WEST) CUM RAE BARELI DISTT (EAST),1951,UTTAR PRADESH,INC,FEROZE GANDHI,,,,158569,696634,1,#019733,481131
RAMPUR DISTRICT CUM BAREILLY DISTRICT (WEST),1951,UTTAR PRADESH,INC,ABUL KALAM AZAD,,,,108180,376635,1,#019733,181607
SAHARANPUR DISTT (WEST) CUM MUZAFFER NAGAR DISTT (NORTH),1951,UTTAR PRADESH,INC,SUNDER LAL,,,,253220,717483,1,#019733,711289
SHAJAHANPUR DISTT (NORTH) CUM KHERI DISTT (EAST),1951,UTTAR PRADESH,INC,RAMESHWAR PRASAD NEVATIA,,,,126252,800993,1,#019733,479588
SITAPUR DISTT CUM KHERI DISTT (WEST),1951,UTTAR PRADESH,INC,PRAGI LAL,,,,134275,772283,1,#019733,531924
SULTANPUR DISTRICT (SOUTH),1951,UTTAR PRADESH,INC,B. V. KESKAR,,,,74242,362718,1,#019733,136044
SULTANPUR DISTT (NORTH) CUM FAIZABAD DISTT (SOUTH WEST),1951,UTTAR PRADESH,INC,M. A. KAZMI,,,,46091,377670,1,#019733,112311
UNNAO DISTRICT CUM RAE BARELI DISTT (WEST) CUM HARDOI DISTRICT (SOUTH EAST),1951,UTTAR PRADESH,INC,VISHAMABHER DAYA L,,,,168081,744918,1,#019733,504827
CHHATARPUR DATIA TIKAMGARH,1951,VINDHYA PRADESH,INC,RAM SAHAI TIWARI,,,,82104,587455,1,#019733,347010
REWA,1951,VINDHYA PRADESH,INC,RAJBHAN SINGH,,,,26549,284152,1,#019733,97630
SATNA,1951,VINDHYA PRADESH,INC,UPADHIYA S. D.,,,,48800,293454,1,#019733,101641
SHAHDOL SIDHI,1951,VINDHYA PRADESH,SP,BHAGWAN DUTTA SHASTRI,,,,62033,595865,1,#B15928,159557
BANKURA,1951,WEST BENGAL,INC,JAGANNATH KOLEY,,,,108885,719632,1,#019733,565367
BARRACKPORE,1951,WEST BENGAL,INC,DAS RAMANANDA,,,,81585,365287,1,#019733,159207
BASIRHAT,1951,WEST BENGAL,CPI,CHAKRAVARTTY RENU,,,,172182,762830,1,#DE0000,626043
BERHAMPORE,1951,WEST BENGAL,RSP,TRIDIB CHAUDHURI,,,,82579,371621,1,#999,178873
BIRBHUM,1951,WEST BENGAL,INC,ANIL KUMAR CHANDA,,,,116734,761831,1,#019733,503410
BURDWAN,1951,WEST BENGAL,INC,ATULLA GHOSE,,,,119987,722434,1,#019733,512219
CALCUTTA NORTH EAST,1951,WEST BENGAL,CPI,HIRENDRA NATH MUKHERJEE,,,,71970,375515,1,#DE0000,143132
CALCUTTA NORTH WEST,1951,WEST BENGAL,RSP,MEGHNATH SHAH,,,,74124,382636,1,#999,139731
CALCUTTA SOUTH EAST,1951,WEST BENGAL,BJS,SYAMA PROSAD MOOKERJEE,,,,65026,381486,1,#999,144614
CALCUTTA SOUTH WEST,1951,WEST BENGAL,INC,ASHIM KRISHNA DUTT,,,,73634,380061,1,#019733,144065
CONTAI,1951,WEST BENGAL,INC,"DASS, BASANTA KUMAR",,,,79809,375591,1,#019733,210471
DIAMOND HARBOUR,1951,WEST BENGAL,CPI,BASU KAMAL,,,,120982,730094,1,#DE0000,680143
GHATAL,1951,WEST BENGAL,CPI,CHOWDHURY NIKUNJA BEHARI,,,,73435,361187,1,#DE0000,180379
HOOGHLY,1951,WEST BENGAL,HMS,N. C. CHATTERJEE,,,,71798,385944,1,#999,198385
HOWRAH,1951,WEST BENGAL,INC,SANTOSH KUMAR DUTTA,,,,60929,378918,1,#019733,178071
KALNA KATWA,1951,WEST BENGAL,INC,JONAB ABDUS SATTAR,,,,72682,377219,1,#019733,185672
MALDA,1951,WEST BENGAL,INC,SURENDRA MOHAN GHOSE,,,,81666,354919,1,#019733,145601
MIDNAPORE JHARGRAM,1951,WEST BENGAL,BJS,BANDOPADHYAYA DURGA CHARAN,,,,151494,742739,1,#999,569207
MURSHIDABAD,1951,WEST BENGAL,INC,MUHAMMED KHUDA BUKHSH,,,,124892,380477,1,#019733,186684
NABADWIP,1951,WEST BENGAL,INC,LAKSHMI KANTA MAITRA,,,,91464,381812,1,#019733,159025
NORTH BENGAL,1951,WEST BENGAL,INC,UPENDRA NATH BARMAN,,,,177618,931845,1,#019733,862056
SANTIPUR,1951,WEST BENGAL,INC,ARUN CHANDRA GUHA,,,,80439,371454,1,#019733,160938
SERAMPORE,1951,WEST BENGAL,CPI,TUSAR KANTI CHATTOPADHYAYA,,,,77734,381914,1,#DE0000,190924
TAMLUK,1951,WEST BENGAL,INC,"SAMANTA, SATISH CHANDRA",,,,101109,375461,1,#019733,255379
ULUBERIA,1951,WEST BENGAL,INC,SATYABAN ROY,,,,76719,382085,1,#019733,184939
WEST DINAJPUR,1951,WEST BENGAL,INC,SUSIL RANJAN CHATTOPADHYAY,,,,88815,365483,1,#019733,149398
ADILABAD,1957,ANDHRA PRADESH,INC,K. ASHANNA,,,,91287,365889,1,#019733,176662
ADONI,1957,ANDHRA PRADESH,INC,PENDEKANTI VENKATA SUBBAIAH,,,,83295,393171,1,#019733,117937
ANANTAPUR,1957,ANDHRA PRADESH,CPI,T. NAGI REDDY,,,,98976,423056,1,#DE0000,194554
CHITTOOR,1957,ANDHRA PRADESH,INC,M. ANANTHASAYANAM AYYANGAR,,,,154817,873993,1,#019733,244210
CUDDAPAH,1957,ANDHRA PRADESH,INC,V. RAMI REDDY,,,,101909,456005,1,#019733,197562
ELURU,1957,ANDHRA PRADESH,INC,KUMARI MOTHEY VEDA KUMARI,,,,115280,418227,1,#019733,225340
GOLUGONDA,1957,ANDHRA PRADESH,INC,MISSULA SURYANARAYANA MURTHY,,,,84780,820319,1,#019733,493010
GUDIVADA,1957,ANDHRA PRADESH,INC,DUGGIRALA BALARAMA KRISHNAIAH,,,,155873,458205,1,#019733,284126
GUNTUR,1957,ANDHRA PRADESH,INC,K. RAGHURAMAYYA,,,,158160,505891,1,#019733,267579
HINDUPUR,1957,ANDHRA PRADESH,INC,K.V. RAMAKRISHNA REDDY,,,,66560,401230,1,#019733,109671
HYDERABAD,1957,ANDHRA PRADESH,INC,VINAYAK RAO,,,,77153,283749,1,#019733,116614
KAKINADA,1957,ANDHRA PRADESH,INC,B.S. MURTHY,,,,204319,903182,1,#019733,745933
KARIMNAGAR,1957,ANDHRA PRADESH,INC,M.R. KRISHNA,,,,158820,748201,1,#019733,732963
KHAMMAM,1957,ANDHRA PRADESH,PDF,VITTAL RAO,,,,106627,376471,1,#999,240837
KURNOOL,1957,ANDHRA PRADESH,INC,OSMAN ALI KHAN,,,,81621,422547,1,#019733,103268
MAHABUBABAD,1957,ANDHRA PRADESH,INC,E. MADHUSUDHAN RAO,,,,103964,372879,1,#019733,200672
MAHABUBNAGAR,1957,ANDHRA PRADESH,INC,J. RAMESHWAR RAO,,,,189093,769063,1,#019733,646819
MARKAPUR,1957,ANDHRA PRADESH,INC,CHEGIREDDI BALI REDDY,,,,90883,438204,1,#019733,170026
MASULIPATNAM,1957,ANDHRA PRADESH,INC,MANDALI VENKATA KRISHNA RAO,,,,123242,438973,1,#019733,258626
MEDAK,1957,ANDHRA PRADESH,INC,P. HANMANTH RAO,,,,106511,378686,1,#019733,189121
NALGONDA,1957,ANDHRA PRADESH,PDF,D. VENKATESWAR RAO,,,,241512,795291,1,#999,859439
NARASAPUR,1957,ANDHRA PRADESH,CPI,UDDARAJU RAMAM,,,,134119,457723,1,#DE0000,260037
NELLORE,1957,ANDHRA PRADESH,INC,B. ANJANAPPA,,,,220121,879574,1,#019733,621871
NIZAMABAD,1957,ANDHRA PRADESH,INC,HARISH CHANDRA HEDA,,,,110646,402088,1,#019733,183763
ONGOLE,1957,ANDHRA PRADESH,INC,RONDA NARAPA REDDY,,,,136582,477593,1,#019733,248545
PARVATHIPURAM,1957,ANDHRA PRADESH,INC,B. SATYANARAYANA,,,,126792,827104,1,#019733,494403
RAJAHMUNDRY,1957,ANDHRA PRADESH,INC,D. SATYANARAYANA RAJU,,,,0,430056,1,#019733,0
RAJAMPET,1957,ANDHRA PRADESH,IND,S. HUSSAIN SHAH,,,,0,417694,1,#95b3d7,0
RAJAMPET,1957,ANDHRA PRADESH,INC,T.N. VISWANATH REDDY,,,,0,417694,1,#019733,0
SECUNDERABAD,1957,ANDHRA PRADESH,INC,AHMED MOHIUDDIN,,,,98203,341797,1,#019733,147258
SRIKAKULAM,1957,ANDHRA PRADESH,INC,BODDEPALLI RAJAGOPALA RAO,,,,84797,416861,1,#019733,153238
TENALI,1957,ANDHRA PRADESH,INC,N.G. RANGA,,,,149811,460055,1,#019733,271205
VICARABAD,1957,ANDHRA PRADESH,INC,SANGAM LAKSHMI BAI,,,,0,393492,1,#019733,0
VIJAYAWADA,1957,ANDHRA PRADESH,INC,KOMARRAJU ACHAMAMBA,,,,116861,406776,1,#019733,239762
VISAKHAPATNAM,1957,ANDHRA PRADESH,IND,PUSAPATI VIJAYARAMA GAJAPATHI RAJU,,,,88563,371425,1,#95b3d7,136779
WARANGAL,1957,ANDHRA PRADESH,INC,SADAT ALI KHAN,,,,107249,343246,1,#019733,199543
AUTONOMOUS DISTS,1957,ASSAM,IND,"HYNNIEWTA, HOOVER",,,,58428,393735,1,#95b3d7,117177
CACHAR,1957,ASSAM,INC,TEWARI DWARIKA NATH,,,,219704,729793,1,#019733,393379
DARRANG,1957,ASSAM,INC,"BHAGAVATI, BIJOY CHANDRA",,,,0,309968,1,#019733,0
DHUBRI,1957,ASSAM,PSP,ALI AMJAD,,,,101303,369328,1,#999,174713
DIBRUGARH,1957,ASSAM,INC,"HAZARIKA, JOGENDRA NATH",,,,95238,346534,1,#019733,137398
GAUHATI,1957,ASSAM,PSP,"BARUA, HEM",,,,143497,420761,1,#999,240121
GOALPARA,1957,ASSAM,INC,"DEBI, RANI MANJULA",,,,183974,783396,1,#019733,696041
JORHAT,1957,ASSAM,INC,AHMED MOFIDA,,,,80028,373626,1,#019733,176442
NOWGONG,1957,ASSAM,INC,"KATAKI, LILADHAR",,,,119002,392935,1,#019733,192740
SIBSAGAR,1957,ASSAM,INC,"BORUA, PROFULLA CHANDRA",,,,92374,375283,1,#019733,164601
AURANGABAD,1957,BIHAR,INC,SATYENDRA NARAIN SINGH,,,,89389,355668,1,#019733,141292
BAGAHA,1957,BIHAR,INC,BIBHUTI MISHRA,,,,56380,300750,1,#019733,101822
BANKA,1957,BIHAR,INC,SHAKUNTALA DEVI,,,,78857,389809,1,#019733,154018
BARH,1957,BIHAR,INC,TARKESHWARI DEVI,,,,78929,356840,1,#019733,167987
BEGUSARAI,1957,BIHAR,INC,MATHURA PRASAD MISHRA,,,,113294,402037,1,#019733,217368
BHAGALPUR,1957,BIHAR,INC,BANARSHI PRASAD JHUNJHUNWALA,,,,93315,405868,1,#019733,180611
BUXAR,1957,BIHAR,IND,KAMAL SINGH,,,,75441,366736,1,#95b3d7,171694
CHAMPARAN,1957,BIHAR,INC,BIPIN BEHARI VERMA,,,,187843,679590,1,#019733,484364
CHAPRA,1957,BIHAR,PSP,RAJENDRA SINGH,,,,75994,389668,1,#999,166322
CHATRA,1957,BIHAR,CNSPJP,VIJAYA RAJE,,,,84234,341923,1,#999,127716
DARBHANGA,1957,BIHAR,INC,SHREE NARAYAN DASS,,,,157710,798390,1,#019733,323395
DHANBAD,1957,BIHAR,INC,PRABHAT CHANRA BOSE,,,,67095,420606,1,#019733,139548
DUMKA,1957,BIHAR,JHP,SURESH CHANDRA CHUDHURY,,,,148888,750384,1,#999,582379
GAYA,1957,BIHAR,INC,BRAJSHWAR PRASAD,,,,57927,297223,1,#019733,121012
GIRIDIH,1957,BIHAR,CNSPJP,QUAZI S. A. MATIN,,,,64602,327591,1,#999,126018
GOPALGANJ,1957,BIHAR,INC,DR. SYED MAHMUD,,,,83520,368473,1,#019733,134227
HAJIPUR,1957,BIHAR,INC,RAJESHWAR PATEL,,,,163476,785053,1,#019733,707039
HAZARIBAGH,1957,BIHAR,CNSPJP,LALITA RAJYA LAKSHMI,,,,78486,340558,1,#999,115905
JAINAGAR,1957,BIHAR,INC,SHYAM NANDAN MISHRA,,,,88936,419604,1,#019733,178811
