#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
5,Tivim,4,None Of The Above,NOTA,179.0,2017,22560.0,0.79
1,Mapusa,5,Francisco C. J. A. De Pinto E Souza,BJP,10957.0,2017,22764.0,48.13
2,Mapusa,5,Vinod Fadke,MAG,4129.0,2017,22764.0,18.14
3,Mapusa,5,Vijay Laxman Bhike,INC,3013.0,2017,22764.0,13.24
4,Mapusa,5,Shraddha Khalap,AAP,2321.0,2017,22764.0,10.2
5,Mapusa,5,Domnic Alphonso,IND,1543.0,2017,22764.0,6.78
7,Mapusa,5,Sanjay Vithu Barde,NCP,289.0,2017,22764.0,1.27
8,Mapusa,5,Rameshwari Morajkar,GSRP,103.0,2017,22764.0,0.45
6,Mapusa,5,None Of The Above,NOTA,409.0,2017,22764.0,1.8
1,Siolim,6,Vinoda Datarama Paliencar,GFP,10189.0,2017,23496.0,43.36
2,Siolim,6,Dayanand Rayu Mandrekar,BJP,8748.0,2017,23496.0,37.23
3,Siolim,6,Vishnu Mhaddu Naik,AAP,1854.0,2017,23496.0,7.89
4,Siolim,6,Patrick Savio Almeida,IND,1497.0,2017,23496.0,6.37
5,Siolim,6,Paresh Raikar,GSM,532.0,2017,23496.0,2.26
6,Siolim,6,Abhijit Dhargalkar,NCP,275.0,2017,23496.0,1.17
8,Siolim,6,Janardan Narahari Tamhankar,BMP,116.0,2017,23496.0,0.49
9,Siolim,6,Mukesh Sawant,IND,73.0,2017,23496.0,0.31
7,Siolim,6,None Of The Above,NOTA,212.0,2017,23496.0,0.9
1,Saligao,7,Jayesh Vidyadhar Salgaonkar,GFP,9735.0,2017,21028.0,46.3
2,Saligao,7,Dilip Parulekar,BJP,7598.0,2017,21028.0,36.13
3,Saligao,7,Agnelo Nicholas Fernandes,INC,1616.0,2017,21028.0,7.68
4,Saligao,7,Dattatraya Vittal Padgaonkar,AAP,1330.0,2017,21028.0,6.32
5,Saligao,7,Rajesh Dabholkar,SHI,428.0,2017,21028.0,2.04
7,Saligao,7,Gajanan Rama Naik,CPI,150.0,2017,21028.0,0.71
6,Saligao,7,None Of The Above,NOTA,171.0,2017,21028.0,0.81
1,Calangute,8,Michael Vincent Lobo,BJP,11136.0,2017,20084.0,55.45
2,Calangute,8,Joseph Robert Sequeira,INC,7311.0,2017,20084.0,36.4
3,Calangute,8,Godwin Fernandes,AAP,1465.0,2017,20084.0,7.29
4,Calangute,8,None Of The Above,NOTA,172.0,2017,20084.0,0.86
1,Porvorim,9,Rohan Khaunte,IND,11174.0,2017,19656.0,56.85
